"id","en","es","ru"
"Revolver Ocelot - Revolver Ocelot
Videogames - were a mistake
Anime - not real
Bigot Sandwich - cooking!
Form - returned to
Blast - having
Gaming - TIME!
The Emperor - PROTECTS!!!","Revolver Ocelot - Revolver Ocelot
Videogames - were a mistake
Anime - not real
Bigot Sandwich - cooking!
Form - returned to
Blast - having
Gaming - TIME!
The Emperor - PROTECTS!!!","Revolver Ocelot - Revolver Ocelot
Videojuegos: fueron un error
Anime: no es real
Bigot Sandwich: ¡cocina!
Formulario - regresado a
Explosión - teniendo
Juegos - ¡TIEMPO!
El Emperador - ¡¡¡PROTEGE!!!","Револьвер Оцелот - Револьвер Оцелот
Видеоигры - были ошибкой
Аниме - ненастоящее
Фанатик Сэндвич - готовим!
Форма – вернулась в
Blast – с
Игра – ВРЕМЯ!
Император - ЗАЩИЩАЕТ!!!"
"SAVE GAME","SAVE GAME","GUARDAR JUEGO","СОХРАНИТЬ ИГРУ"
"SFX Volume","SFX Volume","Volumen de efectos especiales","Объем звуковых эффектов"
"SPIRAL!
I'm gonna terrorize you with it
 until you start seeing them everywhere","SPIRAL!
I'm gonna terrorize you with it
 until you start seeing them everywhere","¡ESPIRAL!
Te voy a aterrorizar con eso
hasta que empieces a verlos por todas partes","СПИРАЛЬ!
Я буду терроризировать тебя этим
, пока ты не начнешь видеть их повсюду"
"SSI","SSI","SSI","ССИ"
"Saturation","Saturation","Saturación","Насыщенность"
"Save Game","Save Game","Guardar Partida","Сохранить игру"
"Scan Scene Geometry","Scan Scene Geometry","Escanear geometría de escena","Сканировать геометрию сцены"
"Screen Space Reflections","Screen Space Reflections","Reflexiones del espacio de la pantalla","Отражения в пространстве экрана"
"Screenfilter","Screenfilter","Filtro de pantalla","Экранный фильтр"
"Secondary","Secondary","Secundario","вторичный"
"Select Level","Select Level","Seleccionar nivel","Выбрать уровень"
"Shadow Quality","Shadow Quality","Calidad de la sombra","Качество теней"
"Shadow Softness","Shadow Softness","Suavidad de las sombras","Мягкость теней"
"Shoot me!","Shoot me!","¡Dispárame!","Стреляй в меня!"
"Show Crosshair","Show Crosshair","Mostrar retícula","Показывать прицел"
"Show Speaker Names","Show Speaker Names","Mostrar nombres de oradores","Показать имена докладчиков"
"Simple Button Check","Simple Button Check","Verificación de botón simple","Простая проверка кнопок"
"Simple Reflection to see ourselves in the mirror","Simple Reflection to see ourselves in the mirror","Reflexión Sencilla para vernos en el espejo","Простое отражение, чтобы увидеть себя в зеркале"
"Simple Teleport","Simple Teleport","Teletransporte sencillo","Простой телепорт"
"Some dude - DannyDeTour","Some dude - DannyDeTour","Algún tipo - DannyDeTour","Какой-то чувак - DannyDeTour"
"Sorce-liek ladder. All the
 good stuff is retained and you can actually dismount
it without first playing
Bethoven on your keyboard.
*
That fucking ladder in Route Canal in a room
full of explosives and manhacks! Where you
have to jump on tubes. BAD LADDER! Spank!
But this one is good. Pats and hugs.","Sorce-liek ladder. All the
 good stuff is retained and you can actually dismount
it without first playing
Bethoven on your keyboard.
*
That fucking ladder in Route Canal in a room
full of explosives and manhacks! Where you
have to jump on tubes. BAD LADDER! Spank!
But this one is good. Pats and hugs.","Escalera parecida a una bruja. Todo lo bueno de
se conserva y, de hecho, puedes desmontarlo
sin necesidad de tocar primero
Bethoven en tu teclado.
*
¡Esa maldita escalera en Route Canal en una habitación
llena de explosivos y hacks! Donde
tienes que saltar sobre tubos. ¡MALA ESCALERA! ¡Azotar!
Pero este es bueno. Palmaditas y abrazos.","Колдовская лестница. Все
хорошие вещи сохраняются, и вы можете разобрать
его, не играя предварительно
Бетховена на клавиатуре.
*
Эта чертова лестница на Рут-Канале в комнате
полной взрывчатки и всякой всячины! Где вам
приходится прыгать по трубам. ПЛОХАЯ ЛЕСТНИЦА! Шлепать!
Но этот хорош. Похлопывает и обнимает."
"Speaker Name Color","Speaker Name Color","Color del nombre del altavoz","Имя динамика Цвет"
"Still nothing.","Still nothing.","Todavía nada.","Все равно ничего."
"Stop Trying","Stop Trying","deja de intentarlo","Хватит пытаться"
"SubViewports","SubViewports","Subventanas","Подэкраны просмотра"
"Subtitle BG Color","Subtitle BG Color","Subtítulo BG Color","Цвет фона субтитров"
"Subtitle BG Opacity","Subtitle BG Opacity","Opacidad del fondo de pantalla del subtítulo","Непрозрачность фона субтитров"
"Subtitle Size","Subtitle Size","Tamaño de subtítulo","Размер субтитров"
"Subtitle Text Color","Subtitle Text Color","Color del texto del subtítulo","Цвет текста субтитров"
"Suffering","Suffering","Sufrimiento","Страдания"
"THANKS
---
Igor Demchuk (New Game+) - moral support
AntikranStudio - useful advice and links
Sergei Grach - improved NOCLIP
","THANKS
---
Igor Demchuk (New Game+) - moral support
AntikranStudio - useful advice and links
Sergei Grach - improved NOCLIP
","GRACIAS
---
Igor Demchuk (Nuevo juego+) - apoyo moral
AntikranStudio - consejos y enlaces útiles
Sergei Grach - NOCLIP mejorado","СПАСИБО
---
Игорь Демчук (Новая игра+) - моральная поддержка
AntikranStudio - полезные советы и ссылки
Сергей Грач - улучшенный NOCLIP"
"THE VIP LOUNGE","THE VIP LOUNGE","LA SALA VIP","VIP-ЗАЛ"
"Teleport Destination.
Also looks like tripmines from
 KOTOR or Republic Commando.
","Teleport Destination.
Also looks like tripmines from
 KOTOR or Republic Commando.
","Destino del teletransporte.
También parecen minas trampa de
KOTOR o Republic Commando.","Пункт назначения телепортации.
Также похоже на мины из
KOTOR или Republic Commando."
"Test Description","Test Description","Descripción de prueba","Тестовое описание"
"Text-to-Speech","Text-to-Speech","Texto a voz","Преобразование текста в речь"
"Texture Filtering","Texture Filtering","Filtrado de texturas","Фильтрация текстур"
"The Concept Gallery.
Right now All of the images are either
AI generated or first generated and then
redrawn from hand
as part of my 55th attempt to learn how to draw.
***
I'm aware of your attitude toward AI and I agree.
Clankers won't replace us!","The Concept Gallery.
Right now All of the images are either
AI generated or first generated and then
redrawn from hand
as part of my 55th attempt to learn how to draw.
***
I'm aware of your attitude toward AI and I agree.
Clankers won't replace us!","La galería conceptual.
En este momento Todas las imágenes son
generadas por IA o generadas primero y luego
redibujadas a mano
como parte de mi intento número 55 de aprender a dibujar.
***
Soy consciente de su actitud hacia la IA y estoy de acuerdo.
¡Los clankers no nos reemplazarán!","Концептуальная галерея.
Прямо сейчас Все изображения либо
созданы искусственным интеллектом, либо сначала созданы, а затем
перерисованы от руки
в рамках моей 55-й попытки научиться рисовать.
***
Я знаю о вашем отношении к ИИ и согласен.
Кланкеры нас не заменят!"
"The beginning of Level 3","The beginning of Level 3","El comienzo del nivel 3","Начало 3 уровня"
"The house of pain","The house of pain","La casa del dolor","Дом боли"
"The keypad test
find the password using the CCTV
camera.
it's camera 1 just in case","The keypad test
find the password using the CCTV
camera.
it's camera 1 just in case","La prueba del teclado
encuentra la contraseña usando la cámara CCTV
.
es la cámara 1 por si acaso","Проверка клавиатуры
позволяет найти пароль с помощью камеры видеонаблюдения
.
на всякий случай камера 1"
"The kind of valve I always wanted in HL2. The company is
LITERALLY called Valve but the
valves in HL2 are shit. I DON'T KNOW WHAT KIND OF AXIS
IS THE RIGHT ONE!!!","The kind of valve I always wanted in HL2. The company is
LITERALLY called Valve but the
valves in HL2 are shit. I DON'T KNOW WHAT KIND OF AXIS
IS THE RIGHT ONE!!!","El tipo de válvula que siempre quise en HL2. La empresa se llama
LITERALMENTE Valve, pero las válvulas
en HL2 son una mierda. ¡¡¡NO SÉ QUÉ TIPO DE EJE
ES EL CORRECTO!!!","Тот тип клапана, который я всегда хотел в HL2. Компания
БУКВАЛЬНО называется Valve, но
клапаны в HL2 — дерьмо. Я НЕ ЗНАЮ, КАКАЯ ОСЬ
ТАКАЯ ПРАВИЛЬНАЯ!!!"
"The mysterious Masked Man who kidnapped us in Short Circuit.
 He's a master of disguise and explosives","The mysterious Masked Man who kidnapped us in Short Circuit.
 He's a master of disguise and explosives","El misterioso Enmascarado que nos secuestró en Cortocircuito.
Es un maestro del disfraz y los explosivos.","Таинственный Человек в Маске, который похитил нас в коротком замыкании.
Он мастер маскировки и взрывчатки."
"The new CEO wanted to rebrand the company for
 modern times and modern audiences. Now it looks something like that.
Peckers are not welcomed!","The new CEO wanted to rebrand the company for
 modern times and modern audiences. Now it looks something like that.
Peckers are not welcomed!","El nuevo director ejecutivo quería cambiar el nombre de la empresa para
tiempos y audiencias modernas. Ahora se ve algo así.
¡Los picotazos no son bienvenidos!","Новый генеральный директор хотел провести ребрендинг компании с учетом
современности и современной аудитории. Сейчас это выглядит примерно так.
Пекеры не приветствуются!"
"The pool is now open","The pool is now open","La piscina ya está abierta.","Бассейн уже открыт"
"The water is completely broken  tho cuz I'm tired","The water is completely broken  tho cuz I'm tired","El agua está completamente rota aunque estoy cansado.","Вода полностью ушла, потому что я устал"
"There is nothing here. Go away!
Press Q to noclip","There is nothing here. Go away!
Press Q to noclip","No hay nada aquí. ¡Irse!
Presiona Q para no recortar","Здесь ничего нет. Уходите!
Чтобы отключить клип, нажмите Q."
"This button is useless.
 Just a test of the focus shader.","This button is useless.
 Just a test of the focus shader.","Este botón es inútil.
Solo una prueba del sombreador de enfoque.","Эта кнопка бесполезна.
Просто тест шейдера фокуса."
"This gate has an incredible
amount of glitches.
Programming is harder
than I anticipated.
*
No pain - no gain
 and unfortunately for pain - I like pain. Let's see who
gives up first this time, ya silly bitch!","This gate has an incredible
amount of glitches.
Programming is harder
than I anticipated.
*
No pain - no gain
 and unfortunately for pain - I like pain. Let's see who
gives up first this time, ya silly bitch!","Esta puerta tiene una increíble
cantidad de fallos.
Programar es más difícil
de lo que esperaba.
*
Sin dolor, no hay ganancia
y ​​desafortunadamente para el dolor, me gusta el dolor. ¡Veamos quién
se rinde primero esta vez, perra tonta!","У этих ворот невероятное
количество глюков.
Программирование оказалось сложнее
, чем я ожидал.
*
Нет боли – нет выгоды
и, к сожалению, боль – я люблю боль. Посмотрим, кто
сдастся первым на этот раз, глупая сука!"
"This is Bella. Will redraw with my own (left) hand later.
","This is Bella. Will redraw with my own (left) hand later.
","Esta es Bella. Volveré a dibujar con mi propia mano (izquierda) más tarde.","Это Белла. Позже перерисую своей (левой) рукой."
"This is a loop - the sequence
starts and ends in the same
place","This is a loop - the sequence
starts and ends in the same
place","Esto es un bucle: la secuencia
comienza y termina en el mismo
lugar","Это цикл: последовательность
начинается и заканчивается в одном и том же
месте."
"This too is
a spiral","This too is
a spiral","Esto también es
una espiral","Это тоже
спираль"
"Toggle Crouch","Toggle Crouch","Alternar agacharse","Переключить приседание"
"Toggle Sprint","Toggle Sprint","Alternar carrera","Переключить спринт"
"Tonemap","Tonemap","Mapa de tonos","Карта тонов"
"Traversal Color","Traversal Color","Color transversal","Цвет прохождения"
"Trigger Hurt - 25hp","Trigger Hurt - 25hp","Gatillo herido: 25 CV","Триггер Хурт - 25 л.с."
"Trigger Look
Stand in front of the text and then
look at the text","Trigger Look
Stand in front of the text and then
look at the text","Activar mirada
Párese frente al texto y luego
mire el texto","Триггерный взгляд
Встаньте перед текстом, а затем
посмотрите на текст"
"Trigger heal - 25hp","Trigger heal - 25hp","Curación del gatillo - 25 hp","Триггерное лечение - 25 хп."
"U MONKE NOW! U-U-UU-U-U-!!!
AAAAAAAAAAAAAAAAAAA!!!!!","U MONKE NOW! U-U-UU-U-U-!!!
AAAAAAAAAAAAAAAAAAA!!!!!","¡U MONKE AHORA! U-U-UU-U-U-!!!
AAAAAAAAAAAAAAAAAAA!!!!!","ТЫ МОНКЕ СЕЙЧАС! У-у-у-у-у-!!!
ААААААААААААААААА!!!!!"
"UI Scale","UI Scale","Escala de interfaz de usuario","Масштаб пользовательского интерфейса"
"Use NOCLIP (Q) if you get stuck.
It's a testbed of my gameplay mechanics, not an actual level.
I will be building everything properly next time","Use NOCLIP (Q) if you get stuck.
It's a testbed of my gameplay mechanics, not an actual level.
I will be building everything properly next time","Utilice NOCLIP (Q) si se queda atascado.
Es un banco de pruebas de mis mecánicas de juego, no un nivel real.
Construiré todo correctamente la próxima vez","Используйте NOCLIP (Q), если вы застряли.
Это испытательный стенд моей игровой механики, а не реальный уровень.
В следующий раз все построю правильно"
"VSR","VSR","VSR","ВСР"
"VSync","VSync","sincronización virtual","вертикальная синхронизация"
"Vibration","Vibration","Vibración","Вибрация"
"Vision Assist","Vision Assist","Asistencia de visión","Vision Assist"
"Voice Volume","Voice Volume","Volumen de voz","Громкость голоса"
"WASD     - move
SPACE   - jump
CTRL    - crouch
Q          - noclip
~           - console
E           - interact
F           - flashlight
Z           -zoom
Left Mouse Button - SHOOT!!! ","WASD     - move
SPACE   - jump
CTRL    - crouch
Q          - noclip
~           - console
E           - interact
F           - flashlight
Z           -zoom
Left Mouse Button - SHOOT!!! ","WASD - moverse
ESPACIO - saltar
CTRL - agacharse
Q - noclip
~ - consola
E - interactuar
F - linterna
Z -zoom
Botón izquierdo del mouse - ¡¡¡DISPARAR!!!","WASD – двигаться
ПРОБЕЛ – прыжок
CTRL – приседать
Q – noclip
~ – консоль
E – взаимодействовать
F – фонарик
Z – масштабировать
Левая кнопка мыши – СТРЕЛЯТЬ!!!"
"WEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE!!!","WEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE!!!","Weeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee ¡¡¡EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE!!!","Вааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааааа ЭАААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААААА!!!"
"WELCOME! Welcome to BellaSDK hub!
You have chosen or been chosen to try this
AI generated slop.

The goal is to democratize game development
and help noobs quickly learn the basics of GD and LD.
***
True HL3 can only be made by US
-
THE PEOPLE!","WELCOME! Welcome to BellaSDK hub!
You have chosen or been chosen to try this
AI generated slop.

The goal is to democratize game development
and help noobs quickly learn the basics of GD and LD.
***
True HL3 can only be made by US
-
THE PEOPLE!","¡BIENVENIDO! ¡Bienvenido al centro BellaSDK!
Has elegido o has sido elegido para probar esta
basura generada por IA.

El objetivo es democratizar el desarrollo de juegos
y ayudar a los novatos a aprender rápidamente los conceptos básicos de GD y LD.
***
El verdadero HL3 solo puede ser fabricado por EE. UU.
-
¡LA GENTE!","ДОБРО ПОЖАЛОВАТЬ! Добро пожаловать в хаб BellaSDK!
Вы выбрали или были выбраны, чтобы попробовать эту
помойку, созданную ИИ.

Цель — демократизировать разработку игр
и помочь новичкам быстро освоить основы GD и LD.
***
Настоящий HL3 могут создать только МЫ
-
ПРОЛЕТАРИАТ!"
"Wanna swim?","Wanna swim?","¿Quieres nadar?","Хочешь поплавать?"
"Water Cube test.
 I want that Splinter Cell aquarium
 back in mah gaemz!
Shoot its sides and then its bottom to see what would happen.
NEAT!","Water Cube test.
 I want that Splinter Cell aquarium
 back in mah gaemz!
Shoot its sides and then its bottom to see what would happen.
NEAT!","Prueba del cubo de agua.
¡Quiero ese acuario Splinter Cell
de vuelta en mah gaemz!
Dispara a sus lados y luego a su parte inferior para ver qué sucede.
¡GENIAL!","Тест «Водяной куб».
Я хочу, чтобы аквариум Splinter Cell
вернулся в Ма-Гэмз!
Прострелите его по бокам, а затем по низу и посмотрите, что произойдет.
АККУРАТНО!"
"What are you looking for?
Some meaning of life?
Movement is life/fundamental property
of all matter.
There is no end to our work.
We will always be unsatisfied
with the current state of things.
Keep grinding while you breathe.
Fake it till you make it
and when you make it -
""The black belt represents not
the end, but the beginning, the
start of a never-ending journey
of discipline, work and the pursuit of an ever-higher
standard.”","What are you looking for?
Some meaning of life?
Movement is life/fundamental property
of all matter.
There is no end to our work.
We will always be unsatisfied
with the current state of things.
Keep grinding while you breathe.
Fake it till you make it
and when you make it -
""The black belt represents not
the end, but the beginning, the
start of a never-ending journey
of discipline, work and the pursuit of an ever-higher
standard.”","¿Qué estás buscando?
¿Algún sentido de la vida?
El movimiento es vida/propiedad fundamental
de toda la materia.
Nuestro trabajo no tiene fin.
Siempre estaremos insatisfechos
con el estado actual de las cosas.
Sigue moliendo mientras respiras.
Finge hasta que lo logres
y cuando lo logres -
""El cinturón negro no representa
el final, sino el comienzo, el
comienzo de un viaje sin fin
de disciplina, trabajo y la búsqueda de un estándar
cada vez más alto"".","Что Вы ищете?
Какой-то смысл жизни?
Движение – это жизнь/фундаментальное свойство
всей материи.
Нашей работе нет конца.
Мы всегда будем недовольны
текущим положением вещей.
Продолжайте работать, пока дышите.
Притворяйтесь, пока не добьетесь успеха
, а когда вы это сделаете -
""Черный пояс — это не
конец, а начало,
начало бесконечного пути
дисциплины, труда и стремления к все более высоким
стандартам""."
"What did I tell you?!
Ya silly goose","What did I tell you?!
Ya silly goose","¡¿Qué te dije?!
Ganso tonto","Что я тебе говорил?!
Глупый гусь"
"Wireframe Off","Wireframe Off","Estructura alámbrica desactivada","Каркас выключен"
"Wireframe Overlay Off","Wireframe Overlay Off","Superposición de estructura alámbrica desactivada","Наложение каркаса выключено"
"Written by Neil Druckmann
Co-writer - Sam Lake
Tested by Phil Fish","Written by Neil Druckmann
Co-writer - Sam Lake
Tested by Phil Fish","Escrito por Neil Druckmann
Coguionista: Sam Lake
Probado por Phil Fish","Написано Нилом Дракманном
Соавтор сценария – Сэм Лейк
Проверено Филом Фишем"
"Yes, you can break the game here. Congrats.
Metrics and item placement is a lot harder than I thought.
Are you happy now?","Yes, you can break the game here. Congrats.
Metrics and item placement is a lot harder than I thought.
Are you happy now?","Sí, puedes romper el juego aquí. Felicitaciones.
Las métricas y la ubicación de los elementos son mucho más difíciles de lo que pensaba.
¿Estás feliz ahora?","Да, здесь можно сломать игру. Поздравляю.
Метрики и размещение элементов оказались намного сложнее, чем я думал.
Теперь ты счастлив?"
"You can climb up and slide down.","You can climb up and slide down.","Puedes subir y deslizarte hacia abajo.","Вы можете подняться и скатиться вниз."
"You can... or can you?
(I don't remember what I wanted to do with this box)
Can you move? Interact? Punch?
Anyway, just leave it be.
It's a bad box. We don't like him.","You can... or can you?
(I don't remember what I wanted to do with this box)
Can you move? Interact? Punch?
Anyway, just leave it be.
It's a bad box. We don't like him.","Puedes... ¿o puedes?
(No recuerdo qué quería hacer con este cuadro)
¿Puedes moverte? ¿Interactuar? ¿Puñetazo?
De todos modos, déjalo así.
Es una caja defectuosa. No nos gusta.","Ты можешь... или можешь?
(не помню, что я хотел сделать с этой коробкой)
Ты можешь двигаться? Взаимодействовать? Ударить кулаком?
В любом случае, оставьте это как есть.
Это плохая коробка. Он нам не нравится."
"You're now free to explore.
But I still recommend you to go to
the left first so I can show you all
the movement mechanics.
*
Press Z to zoom","You're now free to explore.
But I still recommend you to go to
the left first so I can show you all
the movement mechanics.
*
Press Z to zoom","Ahora eres libre de explorar.
Pero aun así te recomiendo que vayas primero a
a la izquierda para poder mostrarles a todos
la mecánica de movimiento.
*
Presione Z para hacer zoom","Теперь вы можете свободно исследовать.
Но я все равно рекомендую вам сначала пойти
слева, чтобы я мог показать вам всем
механику движения.
*
Чтобы увеличить масштаб, нажмите Z."
"[E]","[E]","[E]","[E]"
"[E] to grab","[E] to grab","[E] para agarrar","[E], чтобы захватить"
"^","^","^","^"
"password is 0451","password is 0451","la contraseña es 0451","пароль 0451"
"text","text","texto","текст"
"v","v","v","в"
